[2026-01-15T03:46:53.952+0000] {docker.py:429} INFO - 2%|▏         | 34.0M/1.78G [00:03<03:22, 9.30MB/s]
[2026-01-15T03:46:54.070+0000] {docker.py:429} INFO - 2%|▏         | 35.0M/1.78G [00:04<03:24, 9.17MB/s]
[2026-01-15T03:46:54.175+0000] {docker.py:429} INFO - 2%|▏         | 36.0M/1.78G [00:04<03:19, 9.39MB/s]
[2026-01-15T03:46:54.368+0000] {docker.py:429} INFO - 2%|▏         | 38.0M/1.78G [00:04<03:07, 10.0MB/s]
[2026-01-15T03:46:54.547+0000] {docker.py:429} INFO - 2%|▏         | 40.0M/1.78G [00:04<02:56, 10.6MB/s]
[2026-01-15T03:46:54.730+0000] {docker.py:429} INFO - 2%|▏         | 42.0M/1.78G [00:04<02:51, 10.9MB/s]
[2026-01-15T03:46:54.912+0000] {docker.py:429} INFO - 2%|▏         | 44.0M/1.78G [00:04<02:48, 11.1MB/s]
[2026-01-15T03:46:55.093+0000] {docker.py:429} INFO - 3%|▎         | 46.0M/1.78G [00:05<02:45, 11.3MB/s]
[2026-01-15T03:46:55.275+0000] {docker.py:429} INFO - 3%|▎         | 48.0M/1.78G [00:05<02:44, 11.3MB/s]
[2026-01-15T03:46:55.442+0000] {docker.py:429} INFO - 3%|▎         | 50.0M/1.78G [00:05<02:39, 11.7MB/s]
[2026-01-15T03:46:55.582+0000] {docker.py:429} INFO - 3%|▎         | 52.0M/1.78G [00:05<02:28, 12.5MB/s]
[2026-01-15T03:46:55.729+0000] {docker.py:429} INFO - 3%|▎         | 54.0M/1.78G [00:05<02:22, 13.0MB/s]
[2026-01-15T03:46:55.874+0000] {docker.py:429} INFO - 3%|▎         | 56.0M/1.78G [00:05<02:18, 13.4MB/s]
[2026-01-15T03:46:56.023+0000] {docker.py:429} INFO - 3%|▎         | 58.0M/1.78G [00:06<02:16, 13.6MB/s]
[2026-01-15T03:46:56.171+0000] {docker.py:429} INFO - 3%|▎         | 60.0M/1.78G [00:06<02:14, 13.8MB/s]
[2026-01-15T03:46:56.322+0000] {docker.py:429} INFO - 3%|▎         | 62.0M/1.78G [00:06<02:13, 13.8MB/s]
[2026-01-15T03:46:56.469+0000] {docker.py:429} INFO - 4%|▎         | 64.0M/1.78G [00:06<02:12, 13.9MB/s]
[2026-01-15T03:46:56.620+0000] {docker.py:429} INFO - 4%|▎         | 66.0M/1.78G [00:06<02:12, 13.9MB/s]
[2026-01-15T03:46:56.776+0000] {docker.py:429} INFO - 4%|▎         | 68.0M/1.78G [00:06<02:13, 13.8MB/s]
[2026-01-15T03:46:56.931+0000] {docker.py:429} INFO - 4%|▍         | 70.0M/1.78G [00:06<02:14, 13.7MB/s]
[2026-01-15T03:46:57.085+0000] {docker.py:429} INFO - 4%|▍         | 72.0M/1.78G [00:07<02:14, 13.7MB/s]
[2026-01-15T03:46:57.238+0000] {docker.py:429} INFO - 4%|▍         | 74.0M/1.78G [00:07<02:14, 13.7MB/s]
[2026-01-15T03:46:57.384+0000] {docker.py:429} INFO - 4%|▍         | 76.0M/1.78G [00:07<02:12, 13.9MB/s]
[2026-01-15T03:46:57.527+0000] {docker.py:429} INFO - 4%|▍         | 78.0M/1.78G [00:07<02:09, 14.1MB/s]
[2026-01-15T03:46:57.676+0000] {docker.py:429} INFO - 4%|▍         | 80.0M/1.78G [00:07<02:09, 14.1MB/s]
[2026-01-15T03:46:57.828+0000] {docker.py:429} INFO - 4%|▍         | 82.0M/1.78G [00:07<02:10, 14.0MB/s]
[2026-01-15T03:46:57.981+0000] {docker.py:429} INFO - 5%|▍         | 84.0M/1.78G [00:08<02:11, 13.9MB/s]
[2026-01-15T03:46:58.130+0000] {docker.py:429} INFO - 5%|▍         | 86.0M/1.78G [00:08<02:10, 14.0MB/s]
[2026-01-15T03:46:58.279+0000] {docker.py:429} INFO - 5%|▍         | 88.0M/1.78G [00:08<02:10, 14.0MB/s]
[2026-01-15T03:46:58.431+0000] {docker.py:429} INFO - 5%|▍         | 90.0M/1.78G [00:08<02:10, 13.9MB/s]
[2026-01-15T03:46:58.594+0000] {docker.py:429} INFO - 5%|▌         | 92.0M/1.78G [00:08<02:13, 13.6MB/s]
[2026-01-15T03:46:58.750+0000] {docker.py:429} INFO - 5%|▌         | 94.0M/1.78G [00:08<02:14, 13.6MB/s]
[2026-01-15T03:46:58.896+0000] {docker.py:429} INFO - 5%|▌         | 96.0M/1.78G [00:08<02:11, 13.8MB/s]
[2026-01-15T03:46:59.032+0000] {docker.py:429} INFO - 5%|▌         | 98.0M/1.78G [00:09<02:07, 14.3MB/s]
[2026-01-15T03:46:59.170+0000] {docker.py:429} INFO - 5%|▌         | 100M/1.78G [00:09<02:04, 14.5MB/s]
[2026-01-15T03:46:59.311+0000] {docker.py:429} INFO - 6%|▌         | 102M/1.78G [00:09<02:03, 14.6MB/s]
[2026-01-15T03:46:59.451+0000] {docker.py:429} INFO - 6%|▌         | 104M/1.78G [00:09<02:02, 14.7MB/s]
[2026-01-15T03:46:59.591+0000] {docker.py:429} INFO - 6%|▌         | 106M/1.78G [00:09<02:01, 14.8MB/s]
[2026-01-15T03:46:59.730+0000] {docker.py:429} INFO - 6%|▌         | 108M/1.78G [00:09<02:00, 14.9MB/s]
[2026-01-15T03:46:59.871+0000] {docker.py:429} INFO - 6%|▌         | 110M/1.78G [00:09<02:00, 14.9MB/s]
[2026-01-15T03:47:00.012+0000] {docker.py:429} INFO - 6%|▌         | 112M/1.78G [00:10<02:00, 14.9MB/s]
[2026-01-15T03:47:00.152+0000] {docker.py:429} INFO - 6%|▌         | 114M/1.78G [00:10<02:00, 14.9MB/s]
[2026-01-15T03:47:00.291+0000] {docker.py:429} INFO - 6%|▋         | 116M/1.78G [00:10<01:59, 15.0MB/s]
